FECHA,DEPARTAMENTO,MUNICIPIO,DIA,HORA,BARRIO,ZONA,CLASE DE SITIO,ARMA EMPLEADA,EDAD,SEXO,ESTADO CIVIL,CLASE DE EMPLEADO,ESCOLARIDAD
01/01/2010 00:00:00,CALDAS,AGUADAS,Viernes,04:00:00 AM,LA VANA,URBANA,CASAS DE HABITACION,CONTUNDENTES,31,FEMENINO,UNION LIBRE,AMA DE CASA,PRIMARIA
01/01/2010 00:00:00,CALDAS,ANSERMA,Viernes,06:00:00 AM,CENTRO,URBANA,CASAS DE HABITACION,PUNZANTES,16,FEMENINO,SOLTERO,NO REPORTA,SECUNDARIA
01/01/2010 00:00:00,CALDAS,MANIZALES (CT),Viernes,02:00:00 PM,CERVANTES,URBANA,CASAS DE HABITACION,CONTUNDENTES,19,FEMENINO,UNION LIBRE,ESTUDIANTE,SECUNDARIA
01/01/2010 00:00:00,CALDAS,MANIZALES (CT),Viernes,10:00:00 PM,MALHABAR,URBANA,CASAS DE HABITACION,CONTUNDENTES,38,FEMENINO,UNION LIBRE,EMPLEADO PARTICULAR,TECNOLOGO
01/01/2010 00:00:00,CALDAS,SALAMINA,Viernes,03:00:00 AM,GALAN,URBANA,CASAS DE HABITACION,CONTUNDENTES,27,FEMENINO,UNION LIBRE,AMA DE CASA,SECUNDARIA
08/04/2010 00:00:00,VALLE,ANDALUCÍA,Miércoles,12:00:00 AM,-,URBANA,CASAS DE HABITACION,CONTUNDENTES,26,FEMENINO,CASADO,AMA DE CASA,SECUNDARIA
,MAGDALENA,SANTA MARTA (CT),Sábado,10:00:00 AM,AEROPUERTO,URBANA,NO DEFINIDO,CONTUNDENTES,19,FEMENINO,UNION LIBRE,INDEPENDIENTE,NO REPORTADO
05/05/2010 00:00:00,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,07:30:00 PM,SANTA LIBRADA E-5,URBANA,CASAS DE HABITACION,CONTUNDENTES,16,FEMENINO,SOLTERO,AMA DE CASA,SECUNDARIA
01/01/2010 00:00:00,CASANARE,AGUAZUL,Viernes,08:00:00 AM,20 DE JULIO,URBANA,VIAS PUBLICAS,CONTUNDENTES,11,MASCULINO,SOLTERO,ESTUDIANTE,PRIMARIA
01/01/2010 00:00:00,CASANARE,AGUAZUL,Viernes,02:20:00 PM,-,URBANA,VIAS PUBLICAS,CONTUNDENTES,19,MASCULINO,SOLTERO,INDEPENDIENTE,SECUNDARIA
,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,11:30:00 PM,EL JAZMÍN I SECTOR E-16,URBANA,CASAS DE HABITACION,CONTUNDENTES,31,FEMENINO,UNION LIBRE,AMA DE CASA,SECUNDARIA
06/05/2010 00:00:00,SANTANDER,CONTRATACIÓN,Sábado,12:00:00 AM,EL CAFETAL,URBANA,CASAS DE HABITACION,CONTUNDENTES,38,FEMENINO,UNION LIBRE,AMA DE CASA,PRIMARIA
01/01/2010 00:00:00,CAUCA,SANTANDER DE QUILICHAO,Viernes,10:45:00 AM,CENTRO,URBANA,VIAS PUBLICAS,CONTUNDENTES,18,FEMENINO,UNION LIBRE,AMA DE CASA,SECUNDARIA
01/01/2010 00:00:00,CESAR,VALLEDUPAR (CT),Viernes,02:00:00 AM,MAREIGUA,URBANA,VIAS PUBLICAS,CONTUNDENTES,34,FEMENINO,UNION LIBRE,EMPLEADO PARTICULAR,SECUNDARIA
01/01/2010 00:00:00,CESAR,VALLEDUPAR (CT),Viernes,09:00:00 AM,-,URBANA,CASAS DE HABITACION,CONTUNDENTES,19,FEMENINO,SOLTERO,AMA DE CASA,SECUNDARIA
01/01/2010 00:00:00,CESAR,VALLEDUPAR (CT),Viernes,12:40:00 PM,SANTA RITA,URBANA,CASAS DE HABITACION,CONTUNDENTES,47,FEMENINO,CASADO,COMERCIANTE,SECUNDARIA
01/01/2010 00:00:00,CESAR,VALLEDUPAR (CT),Viernes,07:00:00 PM,VILLA CORELCA,URBANA,NO DEFINIDO,CONTUNDENTES,34,FEMENINO,UNION LIBRE,AMA DE CASA,NO REPORTADO
01/01/2010 00:00:00,CESAR,VALLEDUPAR (CT),Viernes,08:00:00 PM,URB.POPULANDIA,URBANA,CASAS DE HABITACION,CONTUNDENTES,16,FEMENINO,SOLTERO,ESTUDIANTE,SECUNDARIA
,SANTANDER,GIRÓN,Martes,12:00:00 PM,RINCON DE GIRON,URBANA,CASAS DE HABITACION,CONTUNDENTES,52,FEMENINO,CASADO,AMA DE CASA,PRIMARIA
05/12/2010 00:00:00,VALLE,PALMIRA,Miércoles,05:00:00 PM,SESQUI CENTENARIO,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,32,FEMENINO,UNION LIBRE,AMA DE CASA,SECUNDARIA
04/04/2010 00:00:00,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,11:30:00 PM,ARBORIZADORA ALTA E-19,URBANA,CASAS DE HABITACION,CONTUNDENTES,15,FEMENINO,NO REPORTADO,ESTUDIANTE,SECUNDARIA
,CAUCA,GUAPI,Miércoles,01:40:00 PM,LA FORTALEZA,URBANA,VIAS PUBLICAS,CONTUNDENTES,29,FEMENINO,UNION LIBRE,INDEPENDIENTE,SECUNDARIA
,CESAR,CURUMANÍ,Domingo,02:35:00 AM,LOS CORAZONES,URBANA,CASAS DE HABITACION,CONTUNDENTES,10,MASCULINO,SOLTERO,ESTUDIANTE,SECUNDARIA
03/04/2010 00:00:00,BOYACÁ,EL COCUY,Jueves,08:00:00 PM,CENTRO,URBANA,CASAS DE HABITACION,CORTANTES,33,FEMENINO,UNION LIBRE,INDEPENDIENTE,SECUNDARIA
,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,07:00:00 PM,LOS TRES REYES - I ETAPA E-19,URBANA,CASAS DE HABITACION,CONTUNDENTES,33,FEMENINO,UNION LIBRE,AMA DE CASA,PRIMARIA
,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,06:20:00 AM,URB. COMPARTIR E-11,URBANA,APARTAMENTO,CONTUNDENTES,46,MASCULINO,UNION LIBRE,EMPLEADO PARTICULAR,TECNICO
05/12/2010 00:00:00,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,03:00:00 PM,LA ESTACIÓN E-7,URBANA,FRENTE CLINICA U HOSPITAL - VIA PUBLICA,CONTUNDENTES,26,FEMENINO,UNION LIBRE,AMA DE CASA,SECUNDARIA
