FECHA,DEPARTAMENTO,MuNICIPIO,DIA,HORA,BARRIO,ZONA,CLASE DE SITIO,ARMA EMPLEADA,EDAD,SEXO,ESTADO CIVIL,CLASE DE EMPLEADO,ESCOLARIDAD
01/02/2011 00:00:00,SANTANDER,FLORIDABLANCA,Domingo,07:15:00 PM,LA PRIMAVERA,URBANA,CASAS DE HABITACION,CONTUNDENTES,66,MASCULINO,UNION LIBRE,INDEPENDIENTE,SECUNDARIA
01/02/2011 00:00:00,SANTANDER,LEBRIJA,Domingo,11:00:00 AM,MARIA PAZ LBJA,URBANA,CASAS DE HABITACION,CONTUNDENTES,37,MASCULINO,CASADO,EMPLEADO PARTICULAR,SECUNDARIA
01/02/2011 00:00:00,SANTANDER,PIEDECUESTA,Domingo,07:00:00 PM,LA FERIA P/TA,URBANA,CASAS DE HABITACION,CONTUNDENTES,39,FEMENINO,UNION LIBRE,EMPLEADO PARTICULAR,SECUNDARIA
01/02/2011 00:00:00,SANTANDER,SAN GIL,Domingo,12:00:00 AM,EL CENTRO,URBANA,VIAS PUBLICAS,CONTUNDENTES,36,FEMENINO,UNION LIBRE,AMA DE CASA,SECUNDARIA
01/02/2011 00:00:00,SANTANDER,SIMACOTA,Domingo,12:00:00 AM,VRDA  EL SALTO,RURAL,CASAS DE HABITACION,CONTUNDENTES,1,FEMENINO,SOLTERO,DESEMPLEADO,NO REPORTADO
01/02/2011 00:00:00,SUCRE,SINCELEJO (CT),Domingo,01:00:00 PM,SAN CARLOS,URBANA,VIAS PUBLICAS,CONTUNDENTES,32,FEMENINO,CASADO,EMPLEADO PARTICULAR,SUPERIOR
01/02/2011 00:00:00,SUCRE,SINCELEJO (CT),Domingo,08:00:00 PM,-,RURAL,CASAS DE HABITACION,CONTUNDENTES,29,FEMENINO,SOLTERO,EMPLEADO PARTICULAR,SECUNDARIA
01/02/2011 00:00:00,SUCRE,SINCELEJO (CT),Domingo,09:30:00 PM,NORMANDIAZ,URBANA,CASAS DE HABITACION,CONTUNDENTES,20,FEMENINO,UNION LIBRE,EMPLEADO PARTICULAR,SECUNDARIA
01/02/2011 00:00:00,SUCRE,SINCELEJO (CT),Domingo,10:00:00 PM,SECTOR ALCALDIA (TRONCAL),URBANA,VIAS PUBLICAS,CONTUNDENTES,33,FEMENINO,UNION LIBRE,EMPLEADO PARTICULAR,SECUNDARIA
01/02/2011 00:00:00,VALLE,BUENAVENTURA,Domingo,02:00:00 PM,BELLAVISTA,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,18,FEMENINO,UNION LIBRE,INDEPENDIENTE,SECUNDARIA
01/02/2011 00:00:00,VALLE,BUENAVENTURA,Domingo,09:00:00 PM,ALBERTO LLERAS CAMARGO,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,23,FEMENINO,SOLTERO,INDEPENDIENTE,PRIMARIA
01/02/2011 00:00:00,VALLE,BUENAVENTURA,Domingo,09:00:00 PM,ALBERTO LLERAS CAMARGO,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,28,FEMENINO,UNION LIBRE,INDEPENDIENTE,SECUNDARIA
01/02/2011 00:00:00,VALLE,BUGALAGRANDE,Domingo,12:00:00 AM,CORREGIMIENTO EL OVERO,RURAL,CASAS DE HABITACION,CONTUNDENTES,36,FEMENINO,UNION LIBRE,AMA DE CASA,SECUNDARIA
01/02/2011 00:00:00,VALLE,CALI (CT),Domingo,11:00:00 AM,LOS PINOS E7,URBANA,CASAS DE HABITACION,CONTUNDENTES,20,MASCULINO,UNION LIBRE,INDEPENDIENTE,SECUNDARIA
01/02/2011 00:00:00,VALLE,CALI (CT),Domingo,11:30:00 AM,MANUELA BELTRAN E14,URBANA,CASAS DE HABITACION,CONTUNDENTES,35,FEMENINO,UNION LIBRE,DESEMPLEADO,SECUNDARIA
01/02/2011 00:00:00,VALLE,CALI (CT),Domingo,11:30:00 AM,MANUELA BELTRAN E14,URBANA,VIAS PUBLICAS,CONTUNDENTES,35,FEMENINO,UNION LIBRE,EMPLEADO PARTICULAR,SECUNDARIA
01/02/2011 00:00:00,VALLE,CALI (CT),Domingo,01:30:00 PM,ALFONSO BARBERENA E12,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,32,FEMENINO,SOLTERO,AMA DE CASA,PRIMARIA
01/02/2011 00:00:00,VALLE,CALI (CT),Domingo,02:00:00 PM,POPULAR E4,URBANA,VIAS PUBLICAS,CONTUNDENTES,28,MASCULINO,UNION LIBRE,EMPLEADO PARTICULAR,SECUNDARIA
01/02/2011 00:00:00,VALLE,CALI (CT),Domingo,04:30:00 PM,CHARCO AZUL E13,URBANA,CASAS DE HABITACION,CONTUNDENTES,70,FEMENINO,DIVORCIADO,DESEMPLEADO,PRIMARIA
01/02/2011 00:00:00,VALLE,CALI (CT),Domingo,04:30:00 PM,CHARCO AZUL E13,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,70,FEMENINO,DIVORCIADO,AMA DE CASA,PRIMARIA
01/02/2011 00:00:00,VALLE,CALI (CT),Domingo,05:30:00 PM,ALFONSO B. ARAGON E14,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,22,FEMENINO,SOLTERO,AMA DE CASA,SECUNDARIA
01/02/2011 00:00:00,VALLE,CALI (CT),Domingo,08:00:00 PM,SIETE DE AGOSTO E7,URBANA,VIAS PUBLICAS,CONTUNDENTES,37,FEMENINO,UNION LIBRE,EMPLEADO PARTICULAR,SECUNDARIA
01/02/2011 00:00:00,VALLE,CALI (CT),Domingo,09:00:00 PM,ALTO NAPOLES E18,URBANA,VIAS PUBLICAS,CONTUNDENTES,40,FEMENINO,UNION LIBRE,EMPLEADO PARTICULAR,SECUNDARIA
01/02/2011 00:00:00,VALLE,CALI (CT),Domingo,09:00:00 PM,PIZAMOS II E21,URBANA,VIAS PUBLICAS,CONTUNDENTES,30,FEMENINO,UNION LIBRE,EMPLEADO PARTICULAR,SECUNDARIA
